Phase 1: Parsing XML file and creating rules
	Total time: 19 seconds
Phase 2: Constructing the WFA
	Total time: 138 seconds
Phase 3: Inspecting interesting program points
	Total # of points 20407
	Total time: 203 seconds
Error Code, Call Sites to Dropping Function, Type, Validity, FP Type, Dropping Function, Definition of Dropping Function, SHA, Examiner, Date, Notes, 
36,*MPI_ERR_TRUNCATE MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/coll/red_scat_block_osu.c:149,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
37,*MPI_ERR_OTHER,src/mpi/coll/iallreduce.c:551,Unsaved,,,,src/mpi/comm/commutil.c:318,,,,
38,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:766,Unsaved,,,,src/mpi/coll/ired_scat_tuning.c:331,,,,
39,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:2384,Unsaved,,,,src/mpid/ch3/channels/common/src/cm/cm.c:2639,,,,
40,*MPI_ERR_INTERN,src/mpi/coll/ch3_shmem_coll.c:700,Unsaved,,,,src/mpi/coll/ibcast_tuning.c:382,,,,
41,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_write.c:336,Unsaved,,,,adio/common/lock.c:177,,,,
42,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:250,Unsaved,,,,adio/common/lock.c:177,,,,
43,*MPI_ERR_TRUNCATE MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/rdma_iba_1sc.c:561,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
44,*MPI_ERR_TRUNCATE MPI_ERR_COUNT MPI_ERR_IN_STATUS MPI_ERR_ARG MPI_ERR_INTERN MPI_ERR_TYPE MPI_ERR_REQUEST MPI_ERR_OTHER,src/mpi/coll/bcast_osu.c:3050,Unsaved,,,,src/mpi/coll/helper_fns.c:85,,,,
45,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_isendv.c:231,Unsaved,,,,src/mpid/ch3/channels/common/src/cm/cm.c:2639,,,,
46,*MPI_ERR_UNKNOWN,adio/common/ad_write_str.c:464,Unsaved,,,,adio/common/lock.c:177,,,,
47,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_iwrite.c:92,Unsaved,,,,adio/common/lock.c:177,,,,
48,*MPI_ERR_OTHER,src/mpi/comm/comm_split.c:759,Unsaved,,,,src/mpid/ch3/src/mpid_vc.c:110,,,,
49,*MPI_ERR_UNKNOWN,adio/ad_nfs/ad_nfs_read.c:59,Unsaved,,,,adio/common/lock.c:177,,,,
50,*MPI_ERR_OTHER,adio/common/ad_iread_coll.c:236,Unsaved,,,,src/mpi/pt2pt/greq_start.c:88,,,,
51,*MPI_ERR_COUNT MPI_ERR_INTERN MPI_ERR_OTHER,src/mpi/comm/comm_split.c:726,Unsaved,,,,src/mpi/coll/helper_fns.c:533,,,,
52,*MPI_ERR_ARG,adio/common/ad_darray.c:100,Unsaved,,,,adio/common/ad_darray.c:227,,,,
53,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/rdma/ch3_istartmsg.c:150,Unsaved,,,,src/mpid/ch3/channels/common/src/cm/cm.c:2639,,,,
54,*MPI_ERR_COUNT MPI_ERR_OTHER,src/mpi/coll/bcast_osu.c:991,Unsaved,,,,src/mpi/coll/helper_fns.c:703,,,,
55,*MPI_ERR_OTHER,src/mpid/ch3/channels/mrail/src/gen2/ibv_send.c:1679,Unsaved,,,,src/mpid/ch3/src/ch3u_request.c:862,,,,
